hangul	hanja	record_id	jsonl_line	text_start	text_end	published_span	status	context	source_url
배치	配置	gongu:13313944	4817	49497	49503	배치(配置)	accepted_occurrence	Arrangements for study; general arrangement sense, not direct image placement instructions.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313944&menuNo=200019
범위	範圍	gongu:9018778	6504	817	823	범위(範圍)	accepted_occurrence	Extent of poetry’s contact with reality; general scope sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9018778&menuNo=200019
변환	變換	gongu:9000381	5209	10525	10531	변환(變換)	accepted_occurrence	A change in attitude; general transformation sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000381&menuNo=200019
복사	複寫	gongu:9000380	5208	767	773	복사(複寫)	accepted_occurrence	A theatrical movement described as copying Western drama.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000380&menuNo=200019
비율	比率	gongu:13313662	4535	10609	10615	비율(比率)	accepted_occurrence	A one-to-one ratio of military strength.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313662&menuNo=200019
삭제	削除	gongu:9000634	5445	42788	42794	삭제(削除)	accepted_occurrence	Removal of passages from a book.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000634&menuNo=200019
색상	色相	gongu:9019686	6681	41433	41439	색상(色相)	rejected_ui_sense	Rejected for UI meaning: physiognomic appearance compared with bone structure and disposition; not hue.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9019686&menuNo=200019
선택	選擇	gongu:13313664	4537	168910	168916	선택(選擇)	accepted_occurrence	Choosing a successor; selection sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313664&menuNo=200019
수정	修正	gongu:9032181	10394	122285	122291	수정(修正)	accepted_occurrence	Revision of a character’s view of life.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9032181&menuNo=200019
시간	時間	gongu:9000630	5441	646	652	시간(時間)	accepted_occurrence	Number of printed sheets per hour; time sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000630&menuNo=200019
실행	實行	gongu:9000486	5299	3927	3933	실행(實行)	accepted_occurrence	Putting ideals into practice; general execution sense, not proof of software redo wording.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000486&menuNo=200019
암호	暗號	gongu:9031267	9483	39254	39260	암호(暗號)	accepted_occurrence	Deciphering a letter-based cipher; code sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9031267&menuNo=200019
언어	言語	gongu:9030933	9149	105	111	언어(言語)	accepted_occurrence	Difficulty speaking the language while travelling.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9030933&menuNo=200019
연결	連結	gongu:9001100	5832	833	839	연결(連結)	accepted_occurrence	Connecting small farms and household industry.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9001100&menuNo=200019
연필	鉛筆	gongu:9030930	9146	1488	1494	연필(鉛筆)	accepted_occurrence	A pencil used to depict a scene.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9030930&menuNo=200019
영역	領域	gongu:13313664	4537	93939	93945	영역(領域)	accepted_occurrence	Territory ruled by a king; general bounded-domain sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=13313664&menuNo=200019
원본	原本	gongu:9000185	5013	85864	85870	원본(原本)	accepted_occurrence	Learning from the original rather than second-hand knowledge; metaphorical original-source sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000185&menuNo=200019
위치	位置	gongu:9000971	5708	11894	11900	위치(位置)	accepted_occurrence	Position of a person’s gaze.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000971&menuNo=200019
작업	作業	gongu:9033697	11906	6396	6402	작업(作業)	accepted_occurrence	Mental work by a writer; general work/process sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9033697&menuNo=200019
작품	作品	gongu:9001333	5944	957	963	작품(作品)	accepted_occurrence	Writing a literary work.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9001333&menuNo=200019
전경	前景	gongu:11257850	9	1834	1840	전경(前景)	accepted_occurrence	Placing a flag in the foreground of a composition compared with Monet.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=11257850&menuNo=200019
전체	全體	gongu:9001328	5939	3611	3617	전체(全體)	accepted_occurrence	The whole group in contrast to a minority.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9001328&menuNo=200019
조합	組合	gongu:9000383	5211	476	482	조합(組合)	accepted_occurrence	Combination of characters into an expression.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000383&menuNo=200019
출처	出處	gongu:9032175	10388	53892	53898	출처(出處)	accepted_occurrence	Establishing where a photograph came from.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9032175&menuNo=200019
표시	表示	gongu:9000971	5708	8269	8275	표시(表示)	accepted_occurrence	Showing discouragement by gestures; expression/display sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000971&menuNo=200019
한도	限度	gongu:9032180	10393	216754	216760	한도(限度)	accepted_occurrence	Limit of human capacity.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9032180&menuNo=200019
현재	現在	gongu:9001100	5832	1341	1347	현재(現在)	accepted_occurrence	The present economic situation.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9001100&menuNo=200019
형식	形式	gongu:9000392	5220	3795	3801	형식(形式)	accepted_occurrence	Form and technique in literature.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000392&menuNo=200019
확대	擴大	gongu:9032179	10392	219068	219074	확대(擴大)	accepted_occurrence	Magnifying the significance of a problem; figurative enlargement sense.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9032179&menuNo=200019
회전	回轉	gongu:9000384	5212	39	45	회전(回轉)	accepted_occurrence	Mechanical rotation in theatrical staging.	https://gongu.copyright.or.kr/gongu/wrt/wrt/view.do?wrtSn=9000384&menuNo=200019
